row,agro_cols,host_cols,agro_seas,climate_cols,type,low_auc,mid_auc,high_auc
1,1,0,0,0,human,0.836900623591333,0.850876438512439,0.864852253433545
1,1,0,0,0,NHP,0.767594534971158,0.785673520474253,0.803752505977349
1,1,0,0,0,both,0.872795389841054,0.901081094907477,0.9293667999739
2,0,1,0,0,human,0.847314804536278,0.85971209121133,0.872109377886382
2,0,1,0,0,NHP,0.770015683876639,0.788571777434289,0.807127870991938
2,0,1,0,0,both,0.878378417571059,0.90609677028318,0.933815122995301
3,1,1,0,0,human,0.88375061679124,0.895258037032795,0.90676545727435
3,1,1,0,0,NHP,0.8373401762917,0.851607893508189,0.865875610724677
3,1,1,0,0,both,0.912435366340447,0.93367353180283,0.954911697265212
4,0,0,1,0,human,0.880434587811863,0.891108478145934,0.901782368480004
4,0,0,1,0,NHP,0.794932533576885,0.809140294806074,0.823348056035264
4,0,0,1,0,both,0.871716523937126,0.890602902344838,0.909489280752549
5,1,0,1,0,human,0.890481120149892,0.903091004243866,0.91570088833784
5,1,0,1,0,NHP,0.817606164267488,0.834518762368773,0.851431360470057
5,1,0,1,0,both,0.923425588165816,0.942925608600122,0.962425629034429
6,0,1,1,0,human,0.913822824427435,0.923181983365258,0.932541142303082
6,0,1,1,0,NHP,0.857980449036945,0.870550319987622,0.883120190938299
6,0,1,1,0,both,0.935920354445297,0.951743123279221,0.967565892113145
7,1,1,1,0,human,0.92446954437705,0.93375823971359,0.94304693505013
7,1,1,1,0,NHP,0.872670894442716,0.884864740638783,0.89705858683485
7,1,1,1,0,both,0.935032970856482,0.952113089578183,0.969193208299884
8,0,0,0,1,human,0.922433323647774,0.93084922293483,0.939265122221886
8,0,0,0,1,NHP,0.852104661875373,0.866221408051661,0.880338154227949
8,0,0,0,1,both,0.973012866239151,0.981518320560599,0.990023774882047
9,1,0,0,1,human,0.932855442755286,0.941155107377206,0.949454771999125
9,1,0,0,1,NHP,0.862764019665462,0.876157470664419,0.889550921663377
9,1,0,0,1,both,0.975669595037262,0.983975973691615,0.992282352345968
10,0,1,0,1,human,0.944613251782359,0.952222418685399,0.959831585588439
10,0,1,0,1,NHP,0.869884057707817,0.882874937895126,0.895865818082434
10,0,1,0,1,both,0.976702205207359,0.98408167172868,0.991461138250002
11,1,1,0,1,human,0.946874772957189,0.954253326481644,0.961631880006098
11,1,1,0,1,NHP,0.879358316792187,0.891758688791557,0.904159060790927
11,1,1,0,1,both,0.978619943510852,0.985457182702926,0.992294421895001
12,0,0,1,1,human,0.933627987908127,0.941444113965662,0.949260240023197
12,0,0,1,1,NHP,0.887047415867421,0.898543436917219,0.910039457967017
12,0,0,1,1,both,0.968254850178369,0.978227270149169,0.988199690119969
13,1,0,1,1,human,0.939947577052754,0.947827348674384,0.955707120296013
13,1,0,1,1,NHP,0.888083851560896,0.899827207882951,0.911570564205005
13,1,0,1,1,both,0.980545941276626,0.986716986531818,0.99288803178701
14,0,1,1,1,human,0.950475172963562,0.957671062459966,0.964866951956371
14,0,1,1,1,NHP,0.909774286257652,0.919650761549571,0.92952723684149
14,0,1,1,1,both,0.98612355322897,0.990326011485266,0.994528469741563
15,1,1,1,1,human,0.948435238107403,0.956227915884025,0.964020593660647
15,1,1,1,1,NHP,0.909440733086062,0.919471971439491,0.92950320979292
15,1,1,1,1,both,0.982150169278861,0.988038327841299,0.993926486403736
