row,agro_cols,host_cols,agro_seas,climate_cols,type,low_auc,mid_auc,high_auc,brier_score
1,1,0,0,0,human,0.802737200329417,0.823321149440915,0.843905098552413,0.0192908151001843
1,1,0,0,0,NHP,0.833278336471511,0.852532825644624,0.871787314817736,0.0192908151001843
1,1,0,0,0,both,0.81523861979013,0.851458762659205,0.887678905528281,0.0192908151001843
2,0,1,0,0,human,0.82945317355443,0.845302110520383,0.861151047486336,0.0190511629778308
2,0,1,0,0,NHP,0.824081202868044,0.841959501902555,0.859837800937065,0.0190511629778308
2,0,1,0,0,both,0.845452467595802,0.875690211425731,0.90592795525566,0.0190511629778308
3,1,1,0,0,human,0.849839349515764,0.866021792941383,0.882204236367002,0.0194927848611866
3,1,1,0,0,NHP,0.849737937330746,0.867870980372681,0.886004023414616,0.0194927848611866
3,1,1,0,0,both,0.874836674673277,0.902931482463857,0.931026290254437,0.0194927848611866
4,0,0,1,0,human,0.87973947339162,0.891867805520705,0.90399613764979,0.019302293149662
4,0,0,1,0,NHP,0.777908200472421,0.794504883753825,0.811101567035229,0.019302293149662
4,0,0,1,0,both,0.850138124139486,0.870957571389965,0.891777018640444,0.019302293149662
5,1,0,1,0,human,0.923416612116775,0.933284282738976,0.943151953361176,0.0177622785560487
5,1,0,1,0,NHP,0.889095895389375,0.901985764453456,0.914875633517537,0.0177622785560487
5,1,0,1,0,both,0.932230073814971,0.947376418096023,0.962522762377075,0.0177622785560487
6,0,1,1,0,human,0.933474627525747,0.941028914404182,0.948583201282618,0.0185761001636729
6,0,1,1,0,NHP,0.878660024529546,0.890595182809707,0.902530341089867,0.0185761001636729
6,0,1,1,0,both,0.942633607124885,0.954152816099688,0.965672025074491,0.0185761001636729
7,1,1,1,0,human,0.941374957698424,0.949417754489834,0.957460551281244,0.0170802881514221
7,1,1,1,0,NHP,0.907801531210224,0.919920974079686,0.932040416949147,0.0170802881514221
7,1,1,1,0,both,0.950611293977121,0.964448805820704,0.978286317664288,0.0170802881514221
8,0,0,0,1,human,0.887058642695634,0.899982136280759,0.912905629865884,0.0192848403468924
8,0,0,0,1,NHP,0.746285141299032,0.765643490947109,0.785001840595186,0.0192848403468924
8,0,0,0,1,both,0.884854334609289,0.909621922616248,0.934389510623206,0.0192848403468924
9,1,0,0,1,human,0.912769728052789,0.924077657906336,0.935385587759883,0.0181586044642921
9,1,0,0,1,NHP,0.863800313988731,0.878877988393935,0.893955662799139,0.0181586044642921
9,1,0,0,1,both,0.923608074466085,0.943533013190151,0.963457951914217,0.0181586044642921
10,0,1,0,1,human,0.92582096913007,0.936368326064878,0.946915682999686,0.0183994689955825
10,0,1,0,1,NHP,0.851311254367742,0.866605171285745,0.881899088203748,0.0183994689955825
10,0,1,0,1,both,0.926601732748855,0.947014561028314,0.967427389307772,0.0183994689955825
11,1,1,0,1,human,0.932724684430315,0.941665758980471,0.950606833530627,0.0178396052194899
11,1,1,0,1,NHP,0.882946215888565,0.897233852039438,0.911521488190311,0.0178396052194899
11,1,1,0,1,both,0.937553794660925,0.955700196438018,0.973846598215111,0.0178396052194899
12,0,0,1,1,human,0.917805055996345,0.928910258821494,0.940015461646644,0.0186360546328669
12,0,0,1,1,NHP,0.844191974039488,0.858817059394978,0.873442144750467,0.0186360546328669
12,0,0,1,1,both,0.899372610033444,0.924157001389783,0.948941392746122,0.0186360546328669
13,1,0,1,1,human,0.928118915178079,0.938466197126355,0.948813479074631,0.0175697420834362
13,1,0,1,1,NHP,0.89706804688223,0.909315496620062,0.921562946357895,0.0175697420834362
13,1,0,1,1,both,0.928811248724145,0.949552379702566,0.970293510680988,0.0175697420834362
14,0,1,1,1,human,0.940025629438676,0.948647920025354,0.957270210612032,0.0177196292995002
14,0,1,1,1,NHP,0.885899720598419,0.898643775801,0.911387831003582,0.0177196292995002
14,0,1,1,1,both,0.953972093325658,0.966511099174323,0.979050105022987,0.0177196292995002
15,1,1,1,1,human,0.940946881147469,0.949624425467335,0.958301969787201,0.0170798606860196
15,1,1,1,1,NHP,0.911712336735909,0.923013526328112,0.934314715920314,0.0170798606860196
15,1,1,1,1,both,0.950713345328193,0.965980987142744,0.981248628957296,0.0170798606860196
