"Agriculture output (O)","Host covariates (H)","Agriculture seasonality (A)","Climate/vegetation seasonality (C)","Human report AUC","NHP report AUC","Both report AUC","Brier score","ID","Overall rank"
1,0,0,0,"0.80 (0.73 - 0.87)","0.78 (0.75 - 0.82)","0.73 (0.69 - 0.77)",0.0192908151001843,"O",13
0,1,0,0,"0.84 (0.78 - 0.90)","0.81 (0.78 - 0.84)","0.74 (0.70 - 0.78)",0.0190511629778308,"H",11
1,1,0,0,"0.86 (0.81 - 0.91)","0.84 (0.81 - 0.87)","0.78 (0.74 - 0.81)",0.0194927848611866,"OH",15
0,0,1,0,"0.76 (0.71 - 0.81)","0.84 (0.81 - 0.86)","0.69 (0.66 - 0.72)",0.019302293149662,"A",14
1,0,1,0,"0.84 (0.79 - 0.89)","0.86 (0.83 - 0.89)","0.79 (0.76 - 0.82)",0.0177622785560487,"OA",5
0,1,1,0,"0.88 (0.84 - 0.92)","0.90 (0.89 - 0.92)","0.79 (0.76 - 0.82)",0.0185761001636729,"HA",9
1,1,1,0,"0.89 (0.85 - 0.94)","0.90 (0.89 - 0.92)","0.83 (0.80 - 0.86)",0.0170802881514221,"OHA",2
0,0,0,1,"0.85 (0.80 - 0.90)","0.86 (0.84 - 0.89)","0.70 (0.66 - 0.73)",0.0192848403468924,"C",12
1,0,0,1,"0.89 (0.85 - 0.93)","0.88 (0.86 - 0.90)","0.78 (0.75 - 0.81)",0.0181586044642921,"OC",7
0,1,0,1,"0.91 (0.88 - 0.95)","0.91 (0.89 - 0.93)","0.79 (0.76 - 0.82)",0.0183994689955825,"HC",8
1,1,0,1,"0.92 (0.89 - 0.95)","0.90 (0.88 - 0.93)","0.81 (0.78 - 0.84)",0.0178396052194899,"OHC",6
0,0,1,1,"0.87 (0.82 - 0.91)","0.88 (0.85 - 0.90)","0.77 (0.75 - 0.80)",0.0186360546328669,"AC",10
1,0,1,1,"0.90 (0.86 - 0.94)","0.89 (0.87 - 0.91)","0.82 (0.79 - 0.85)",0.0175697420834362,"OAC",3
0,1,1,1,"0.92 (0.89 - 0.96)","0.92 (0.90 - 0.94)","0.83 (0.80 - 0.86)",0.0177196292995002,"HAC",4
1,1,1,1,"0.93 (0.90 - 0.96)","0.92 (0.90 - 0.94)","0.84 (0.81 - 0.87)",0.0170798606860196,"OHAC",1
